time="2025-12-26 16:00:30" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-12-26 16:06:24" level=info msg="| 200 |     1.14775ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:06:26" level=info msg="| 200 |  5.372932917s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:06:28" level=info msg="| 200 |  3.725232333s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:06:32" level=info msg="| 200 |    1.534708ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:06:36" level=info msg="| 200 |    3.272667ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:06:40" level=info msg="| 200 |    3.214916ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:06:44" level=info msg="| 200 |  3.743585625s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:06:44" level=info msg="| 200 |    1.520083ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:06:48" level=info msg="| 200 |    2.061584ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:06:52" level=info msg="| 200 |    2.683375ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:06:56" level=info msg="| 200 |    1.527666ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:06:58" level=info msg="| 200 |  5.482806792s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:07:01" level=info msg="| 200 |  4.537452792s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:07:05" level=info msg="| 200 |       1.777ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:07:09" level=info msg="| 200 |    3.039833ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:07:09" level=info msg="| 200 |  3.876001291s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:07:13" level=info msg="| 200 |    2.344625ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:07:17" level=info msg="| 200 |    2.609167ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:07:19" level=info msg="| 200 |  5.754032958s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:07:22" level=info msg="| 200 |  4.189667708s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:07:25" level=info msg="| 200 |    2.231208ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:07:29" level=info msg="| 200 |    2.088333ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:07:33" level=info msg="| 200 |    1.760667ms |             ::1 | GET | /livechat?user_id=agent |"
